,address1,address2,city,state,zip,country,phone,website,industry,industryKey,industryDisp,sector,sectorKey,sectorDisp,longBusinessSummary,fullTimeEmployees,companyOfficers,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,governanceEpochDate,compensationAsOfEpochDate,maxAge,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,dividendRate,dividendYield,exDividendDate,payoutRatio,fiveYearAvgDividendYield,beta,trailingPE,forwardPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,marketCap,fiftyTwoWeekLow,fiftyTwoWeekHigh,priceToSalesTrailing12Months,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,currency,enterpriseValue,profitMargins,floatShares,sharesOutstanding,sharesShort,sharesShortPriorMonth,sharesShortPreviousMonthDate,dateShortInterest,sharesPercentSharesOut,heldPercentInsiders,heldPercentInstitutions,shortRatio,shortPercentOfFloat,impliedSharesOutstanding,bookValue,priceToBook,lastFiscalYearEnd,nextFiscalYearEnd,mostRecentQuarter,earningsQuarterlyGrowth,netIncomeToCommon,trailingEps,forwardEps,pegRatio,lastSplitFactor,lastSplitDate,enterpriseToRevenue,enterpriseToEbitda,52WeekChange,SandP52WeekChange,lastDividendValue,lastDividendDate,exchange,quoteType,symbol,underlyingSymbol,shortName,longName,firstTradeDateEpochUtc,timeZoneFullName,timeZoneShortName,uuid,messageBoardId,gmtOffSetMilliseconds,currentPrice,targetHighPrice,targetLowPrice,targetMeanPrice,targetMedianPrice,recommendationMean,recommendationKey,numberOfAnalystOpinions,totalCash,totalCashPerShare,ebitda,totalDebt,quickRatio,currentRatio,totalRevenue,debtToEquity,revenuePerShare,returnOnAssets,returnOnEquity,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins,ebitdaMargins,operatingMargins,financialCurrency,trailingPegRatio
0,UnitedHealth Group Center,9900 Bren Road East,Minnetonka,MN,55343,United States,952 936 1300,https://www.unitedhealthgroup.com,Healthcare Plans,healthcare-plans,Healthcare Plans,Healthcare,healthcare,Healthcare,"UnitedHealth Group Incorporated operates as a diversified health care company in the United States. The company operates through four segments: UnitedHealthcare, Optum Health, Optum Insight, and Optum Rx. The UnitedHealthcare segment offers consumer-oriented health benefit plans and services for national employers, public sector employers, mid-sized employers, small businesses, and individuals; health care coverage, and health and well-being services to individuals age 50 and older addressing their needs; Medicaid plans, children's health insurance and health care programs; and health and dental benefits, and hospital and clinical services, as well as health care benefits products and services to state programs caring for the economically disadvantaged, medically underserved, and those without the benefit of employer-funded health care coverage. The Optum Health segment provides care delivery, care management, wellness and consumer engagement, and health financial services patients, consumers, care delivery systems, providers, employers, payers, and public-sector entities. The Optum Insight segment offers software and information products, advisory consulting arrangements, and managed services outsourcing contracts to hospital systems, physicians, health plans, governments, life sciences companies, and other organizations. The Optum Rx segment provides pharmacy care services and programs, including retail network contracting, home delivery, specialty and community health pharmacy services, infusion, and purchasing and clinical capabilities, as well as develops programs in the areas of step therapy, formulary management, drug adherence, and disease/drug therapy management. UnitedHealth Group Incorporated was founded in 1974 and is based in Minnetonka, Minnesota.",440000,"{'maxAge': 1, 'name': 'Sir Andrew Philip Witty', 'age': 58, 'title': 'CEO & Non-Independent Director', 'yearBorn': 1965, 'fiscalYear': 2023, 'totalPay': 3533852, 'exercisedValue': 0, 'unexercisedValue': 35714392}",6,6,2,1,2,1719792000,1703980800,86400,2,564.34,567.12,561.54,569.68,564.34,567.12,561.54,569.68,8.4,0.0149,1718582400,0.5122,1.37,0.603,37.389553,19.857044,3313052,3313052,4111781,5365710,5365710,557.01,569.5,900,800,520321269760,436.38,581.5,1.3499445,504.1106,510.80386,7.74,0.013715135,USD,572040544256,0.03659,925373760,920385024,7689132,7513575,1717113600,1719532800,0.0084,0.00235,0.89599997,1.58,0.0084,920385024,102.022,5.541256,1703980800,1735603200,1719705600,-0.23,14103000064,15.12,31.15,1.92,2:1,1117497600,1.484,16.429,0.114129424,0.22226071,2.1,1718582400,NYQ,EQUITY,UNH,UNH,UnitedHealth Group Incorporated,UnitedHealth Group Incorporated,466867800,America/New_York,EDT,33ae4437-560d-3a42-9aa4-234d48c993c5,finmb_104673,-14400000,565.33,621.56,498.16,562.38,559.86,1.6,buy,24,31323000832,33.753,34818998272,75097997312,0.52,0.879,385439006720,75.678,418.273,0.07069,0.15584,-10158999552,9598999552,-0.22,0.064,0.23466998,0.09034,0.07966,USD,1.6259
1,UnitedHealth Group Center,9900 Bren Road East,Minnetonka,MN,55343,United States,952 936 1300,https://www.unitedhealthgroup.com,Healthcare Plans,healthcare-plans,Healthcare Plans,Healthcare,healthcare,Healthcare,"UnitedHealth Group Incorporated operates as a diversified health care company in the United States. The company operates through four segments: UnitedHealthcare, Optum Health, Optum Insight, and Optum Rx. The UnitedHealthcare segment offers consumer-oriented health benefit plans and services for national employers, public sector employers, mid-sized employers, small businesses, and individuals; health care coverage, and health and well-being services to individuals age 50 and older addressing their needs; Medicaid plans, children's health insurance and health care programs; and health and dental benefits, and hospital and clinical services, as well as health care benefits products and services to state programs caring for the economically disadvantaged, medically underserved, and those without the benefit of employer-funded health care coverage. The Optum Health segment provides care delivery, care management, wellness and consumer engagement, and health financial services patients, consumers, care delivery systems, providers, employers, payers, and public-sector entities. The Optum Insight segment offers software and information products, advisory consulting arrangements, and managed services outsourcing contracts to hospital systems, physicians, health plans, governments, life sciences companies, and other organizations. The Optum Rx segment provides pharmacy care services and programs, including retail network contracting, home delivery, specialty and community health pharmacy services, infusion, and purchasing and clinical capabilities, as well as develops programs in the areas of step therapy, formulary management, drug adherence, and disease/drug therapy management. UnitedHealth Group Incorporated was founded in 1974 and is based in Minnetonka, Minnesota.",440000,"{'maxAge': 1, 'name': 'Mr. John F. Rex', 'age': 61, 'title': 'President & CFO', 'yearBorn': 1962, 'fiscalYear': 2023, 'totalPay': 2673427, 'exercisedValue': 0, 'unexercisedValue': 91985840}",6,6,2,1,2,1719792000,1703980800,86400,2,564.34,567.12,561.54,569.68,564.34,567.12,561.54,569.68,8.4,0.0149,1718582400,0.5122,1.37,0.603,37.389553,19.857044,3313052,3313052,4111781,5365710,5365710,557.01,569.5,900,800,520321269760,436.38,581.5,1.3499445,504.1106,510.80386,7.74,0.013715135,USD,572040544256,0.03659,925373760,920385024,7689132,7513575,1717113600,1719532800,0.0084,0.00235,0.89599997,1.58,0.0084,920385024,102.022,5.541256,1703980800,1735603200,1719705600,-0.23,14103000064,15.12,31.15,1.92,2:1,1117497600,1.484,16.429,0.114129424,0.22226071,2.1,1718582400,NYQ,EQUITY,UNH,UNH,UnitedHealth Group Incorporated,UnitedHealth Group Incorporated,466867800,America/New_York,EDT,33ae4437-560d-3a42-9aa4-234d48c993c5,finmb_104673,-14400000,565.33,621.56,498.16,562.38,559.86,1.6,buy,24,31323000832,33.753,34818998272,75097997312,0.52,0.879,385439006720,75.678,418.273,0.07069,0.15584,-10158999552,9598999552,-0.22,0.064,0.23466998,0.09034,0.07966,USD,1.6259
2,UnitedHealth Group Center,9900 Bren Road East,Minnetonka,MN,55343,United States,952 936 1300,https://www.unitedhealthgroup.com,Healthcare Plans,healthcare-plans,Healthcare Plans,Healthcare,healthcare,Healthcare,"UnitedHealth Group Incorporated operates as a diversified health care company in the United States. The company operates through four segments: UnitedHealthcare, Optum Health, Optum Insight, and Optum Rx. The UnitedHealthcare segment offers consumer-oriented health benefit plans and services for national employers, public sector employers, mid-sized employers, small businesses, and individuals; health care coverage, and health and well-being services to individuals age 50 and older addressing their needs; Medicaid plans, children's health insurance and health care programs; and health and dental benefits, and hospital and clinical services, as well as health care benefits products and services to state programs caring for the economically disadvantaged, medically underserved, and those without the benefit of employer-funded health care coverage. The Optum Health segment provides care delivery, care management, wellness and consumer engagement, and health financial services patients, consumers, care delivery systems, providers, employers, payers, and public-sector entities. The Optum Insight segment offers software and information products, advisory consulting arrangements, and managed services outsourcing contracts to hospital systems, physicians, health plans, governments, life sciences companies, and other organizations. The Optum Rx segment provides pharmacy care services and programs, including retail network contracting, home delivery, specialty and community health pharmacy services, infusion, and purchasing and clinical capabilities, as well as develops programs in the areas of step therapy, formulary management, drug adherence, and disease/drug therapy management. UnitedHealth Group Incorporated was founded in 1974 and is based in Minnetonka, Minnesota.",440000,"{'maxAge': 1, 'name': 'Mr. Rupert  Bondy', 'age': 61, 'title': 'Senior Counsel & Executive VP of Governance, Compliance and Security', 'yearBorn': 1962, 'fiscalYear': 2023, 'totalPay': 1921400, 'exercisedValue': 0, 'unexercisedValue': 79548}",6,6,2,1,2,1719792000,1703980800,86400,2,564.34,567.12,561.54,569.68,564.34,567.12,561.54,569.68,8.4,0.0149,1718582400,0.5122,1.37,0.603,37.389553,19.857044,3313052,3313052,4111781,5365710,5365710,557.01,569.5,900,800,520321269760,436.38,581.5,1.3499445,504.1106,510.80386,7.74,0.013715135,USD,572040544256,0.03659,925373760,920385024,7689132,7513575,1717113600,1719532800,0.0084,0.00235,0.89599997,1.58,0.0084,920385024,102.022,5.541256,1703980800,1735603200,1719705600,-0.23,14103000064,15.12,31.15,1.92,2:1,1117497600,1.484,16.429,0.114129424,0.22226071,2.1,1718582400,NYQ,EQUITY,UNH,UNH,UnitedHealth Group Incorporated,UnitedHealth Group Incorporated,466867800,America/New_York,EDT,33ae4437-560d-3a42-9aa4-234d48c993c5,finmb_104673,-14400000,565.33,621.56,498.16,562.38,559.86,1.6,buy,24,31323000832,33.753,34818998272,75097997312,0.52,0.879,385439006720,75.678,418.273,0.07069,0.15584,-10158999552,9598999552,-0.22,0.064,0.23466998,0.09034,0.07966,USD,1.6259
3,UnitedHealth Group Center,9900 Bren Road East,Minnetonka,MN,55343,United States,952 936 1300,https://www.unitedhealthgroup.com,Healthcare Plans,healthcare-plans,Healthcare Plans,Healthcare,healthcare,Healthcare,"UnitedHealth Group Incorporated operates as a diversified health care company in the United States. The company operates through four segments: UnitedHealthcare, Optum Health, Optum Insight, and Optum Rx. The UnitedHealthcare segment offers consumer-oriented health benefit plans and services for national employers, public sector employers, mid-sized employers, small businesses, and individuals; health care coverage, and health and well-being services to individuals age 50 and older addressing their needs; Medicaid plans, children's health insurance and health care programs; and health and dental benefits, and hospital and clinical services, as well as health care benefits products and services to state programs caring for the economically disadvantaged, medically underserved, and those without the benefit of employer-funded health care coverage. The Optum Health segment provides care delivery, care management, wellness and consumer engagement, and health financial services patients, consumers, care delivery systems, providers, employers, payers, and public-sector entities. The Optum Insight segment offers software and information products, advisory consulting arrangements, and managed services outsourcing contracts to hospital systems, physicians, health plans, governments, life sciences companies, and other organizations. The Optum Rx segment provides pharmacy care services and programs, including retail network contracting, home delivery, specialty and community health pharmacy services, infusion, and purchasing and clinical capabilities, as well as develops programs in the areas of step therapy, formulary management, drug adherence, and disease/drug therapy management. UnitedHealth Group Incorporated was founded in 1974 and is based in Minnetonka, Minnesota.",440000,"{'maxAge': 1, 'name': 'Mr. Brian Robert Thompson', 'age': 48, 'title': 'Chief Executive Officer of UnitedHealthcare', 'yearBorn': 1975, 'fiscalYear': 2023, 'totalPay': 2221187, 'exercisedValue': 0, 'unexercisedValue': 23693976}",6,6,2,1,2,1719792000,1703980800,86400,2,564.34,567.12,561.54,569.68,564.34,567.12,561.54,569.68,8.4,0.0149,1718582400,0.5122,1.37,0.603,37.389553,19.857044,3313052,3313052,4111781,5365710,5365710,557.01,569.5,900,800,520321269760,436.38,581.5,1.3499445,504.1106,510.80386,7.74,0.013715135,USD,572040544256,0.03659,925373760,920385024,7689132,7513575,1717113600,1719532800,0.0084,0.00235,0.89599997,1.58,0.0084,920385024,102.022,5.541256,1703980800,1735603200,1719705600,-0.23,14103000064,15.12,31.15,1.92,2:1,1117497600,1.484,16.429,0.114129424,0.22226071,2.1,1718582400,NYQ,EQUITY,UNH,UNH,UnitedHealth Group Incorporated,UnitedHealth Group Incorporated,466867800,America/New_York,EDT,33ae4437-560d-3a42-9aa4-234d48c993c5,finmb_104673,-14400000,565.33,621.56,498.16,562.38,559.86,1.6,buy,24,31323000832,33.753,34818998272,75097997312,0.52,0.879,385439006720,75.678,418.273,0.07069,0.15584,-10158999552,9598999552,-0.22,0.064,0.23466998,0.09034,0.07966,USD,1.6259
4,UnitedHealth Group Center,9900 Bren Road East,Minnetonka,MN,55343,United States,952 936 1300,https://www.unitedhealthgroup.com,Healthcare Plans,healthcare-plans,Healthcare Plans,Healthcare,healthcare,Healthcare,"UnitedHealth Group Incorporated operates as a diversified health care company in the United States. The company operates through four segments: UnitedHealthcare, Optum Health, Optum Insight, and Optum Rx. The UnitedHealthcare segment offers consumer-oriented health benefit plans and services for national employers, public sector employers, mid-sized employers, small businesses, and individuals; health care coverage, and health and well-being services to individuals age 50 and older addressing their needs; Medicaid plans, children's health insurance and health care programs; and health and dental benefits, and hospital and clinical services, as well as health care benefits products and services to state programs caring for the economically disadvantaged, medically underserved, and those without the benefit of employer-funded health care coverage. The Optum Health segment provides care delivery, care management, wellness and consumer engagement, and health financial services patients, consumers, care delivery systems, providers, employers, payers, and public-sector entities. The Optum Insight segment offers software and information products, advisory consulting arrangements, and managed services outsourcing contracts to hospital systems, physicians, health plans, governments, life sciences companies, and other organizations. The Optum Rx segment provides pharmacy care services and programs, including retail network contracting, home delivery, specialty and community health pharmacy services, infusion, and purchasing and clinical capabilities, as well as develops programs in the areas of step therapy, formulary management, drug adherence, and disease/drug therapy management. UnitedHealth Group Incorporated was founded in 1974 and is based in Minnetonka, Minnesota.",440000,"{'maxAge': 1, 'name': 'Mr. Thomas Edward Roos', 'age': 50, 'title': 'Senior VP & Chief Accounting Officer', 'yearBorn': 1973, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,2,1,2,1719792000,1703980800,86400,2,564.34,567.12,561.54,569.68,564.34,567.12,561.54,569.68,8.4,0.0149,1718582400,0.5122,1.37,0.603,37.389553,19.857044,3313052,3313052,4111781,5365710,5365710,557.01,569.5,900,800,520321269760,436.38,581.5,1.3499445,504.1106,510.80386,7.74,0.013715135,USD,572040544256,0.03659,925373760,920385024,7689132,7513575,1717113600,1719532800,0.0084,0.00235,0.89599997,1.58,0.0084,920385024,102.022,5.541256,1703980800,1735603200,1719705600,-0.23,14103000064,15.12,31.15,1.92,2:1,1117497600,1.484,16.429,0.114129424,0.22226071,2.1,1718582400,NYQ,EQUITY,UNH,UNH,UnitedHealth Group Incorporated,UnitedHealth Group Incorporated,466867800,America/New_York,EDT,33ae4437-560d-3a42-9aa4-234d48c993c5,finmb_104673,-14400000,565.33,621.56,498.16,562.38,559.86,1.6,buy,24,31323000832,33.753,34818998272,75097997312,0.52,0.879,385439006720,75.678,418.273,0.07069,0.15584,-10158999552,9598999552,-0.22,0.064,0.23466998,0.09034,0.07966,USD,1.6259
5,UnitedHealth Group Center,9900 Bren Road East,Minnetonka,MN,55343,United States,952 936 1300,https://www.unitedhealthgroup.com,Healthcare Plans,healthcare-plans,Healthcare Plans,Healthcare,healthcare,Healthcare,"UnitedHealth Group Incorporated operates as a diversified health care company in the United States. The company operates through four segments: UnitedHealthcare, Optum Health, Optum Insight, and Optum Rx. The UnitedHealthcare segment offers consumer-oriented health benefit plans and services for national employers, public sector employers, mid-sized employers, small businesses, and individuals; health care coverage, and health and well-being services to individuals age 50 and older addressing their needs; Medicaid plans, children's health insurance and health care programs; and health and dental benefits, and hospital and clinical services, as well as health care benefits products and services to state programs caring for the economically disadvantaged, medically underserved, and those without the benefit of employer-funded health care coverage. The Optum Health segment provides care delivery, care management, wellness and consumer engagement, and health financial services patients, consumers, care delivery systems, providers, employers, payers, and public-sector entities. The Optum Insight segment offers software and information products, advisory consulting arrangements, and managed services outsourcing contracts to hospital systems, physicians, health plans, governments, life sciences companies, and other organizations. The Optum Rx segment provides pharmacy care services and programs, including retail network contracting, home delivery, specialty and community health pharmacy services, infusion, and purchasing and clinical capabilities, as well as develops programs in the areas of step therapy, formulary management, drug adherence, and disease/drug therapy management. UnitedHealth Group Incorporated was founded in 1974 and is based in Minnetonka, Minnesota.",440000,"{'maxAge': 1, 'name': 'Mr. Sandeep  Dadlani', 'age': 48, 'title': 'Executive VP and Chief Digital & Technology Officer', 'yearBorn': 1975, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,2,1,2,1719792000,1703980800,86400,2,564.34,567.12,561.54,569.68,564.34,567.12,561.54,569.68,8.4,0.0149,1718582400,0.5122,1.37,0.603,37.389553,19.857044,3313052,3313052,4111781,5365710,5365710,557.01,569.5,900,800,520321269760,436.38,581.5,1.3499445,504.1106,510.80386,7.74,0.013715135,USD,572040544256,0.03659,925373760,920385024,7689132,7513575,1717113600,1719532800,0.0084,0.00235,0.89599997,1.58,0.0084,920385024,102.022,5.541256,1703980800,1735603200,1719705600,-0.23,14103000064,15.12,31.15,1.92,2:1,1117497600,1.484,16.429,0.114129424,0.22226071,2.1,1718582400,NYQ,EQUITY,UNH,UNH,UnitedHealth Group Incorporated,UnitedHealth Group Incorporated,466867800,America/New_York,EDT,33ae4437-560d-3a42-9aa4-234d48c993c5,finmb_104673,-14400000,565.33,621.56,498.16,562.38,559.86,1.6,buy,24,31323000832,33.753,34818998272,75097997312,0.52,0.879,385439006720,75.678,418.273,0.07069,0.15584,-10158999552,9598999552,-0.22,0.064,0.23466998,0.09034,0.07966,USD,1.6259
6,UnitedHealth Group Center,9900 Bren Road East,Minnetonka,MN,55343,United States,952 936 1300,https://www.unitedhealthgroup.com,Healthcare Plans,healthcare-plans,Healthcare Plans,Healthcare,healthcare,Healthcare,"UnitedHealth Group Incorporated operates as a diversified health care company in the United States. The company operates through four segments: UnitedHealthcare, Optum Health, Optum Insight, and Optum Rx. The UnitedHealthcare segment offers consumer-oriented health benefit plans and services for national employers, public sector employers, mid-sized employers, small businesses, and individuals; health care coverage, and health and well-being services to individuals age 50 and older addressing their needs; Medicaid plans, children's health insurance and health care programs; and health and dental benefits, and hospital and clinical services, as well as health care benefits products and services to state programs caring for the economically disadvantaged, medically underserved, and those without the benefit of employer-funded health care coverage. The Optum Health segment provides care delivery, care management, wellness and consumer engagement, and health financial services patients, consumers, care delivery systems, providers, employers, payers, and public-sector entities. The Optum Insight segment offers software and information products, advisory consulting arrangements, and managed services outsourcing contracts to hospital systems, physicians, health plans, governments, life sciences companies, and other organizations. The Optum Rx segment provides pharmacy care services and programs, including retail network contracting, home delivery, specialty and community health pharmacy services, infusion, and purchasing and clinical capabilities, as well as develops programs in the areas of step therapy, formulary management, drug adherence, and disease/drug therapy management. UnitedHealth Group Incorporated was founded in 1974 and is based in Minnetonka, Minnesota.",440000,"{'maxAge': 1, 'name': 'Mr. Zachary William Sopcak', 'title': 'Senior Vice President of Capital Markets Communications & Investor Relations', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,2,1,2,1719792000,1703980800,86400,2,564.34,567.12,561.54,569.68,564.34,567.12,561.54,569.68,8.4,0.0149,1718582400,0.5122,1.37,0.603,37.389553,19.857044,3313052,3313052,4111781,5365710,5365710,557.01,569.5,900,800,520321269760,436.38,581.5,1.3499445,504.1106,510.80386,7.74,0.013715135,USD,572040544256,0.03659,925373760,920385024,7689132,7513575,1717113600,1719532800,0.0084,0.00235,0.89599997,1.58,0.0084,920385024,102.022,5.541256,1703980800,1735603200,1719705600,-0.23,14103000064,15.12,31.15,1.92,2:1,1117497600,1.484,16.429,0.114129424,0.22226071,2.1,1718582400,NYQ,EQUITY,UNH,UNH,UnitedHealth Group Incorporated,UnitedHealth Group Incorporated,466867800,America/New_York,EDT,33ae4437-560d-3a42-9aa4-234d48c993c5,finmb_104673,-14400000,565.33,621.56,498.16,562.38,559.86,1.6,buy,24,31323000832,33.753,34818998272,75097997312,0.52,0.879,385439006720,75.678,418.273,0.07069,0.15584,-10158999552,9598999552,-0.22,0.064,0.23466998,0.09034,0.07966,USD,1.6259
7,UnitedHealth Group Center,9900 Bren Road East,Minnetonka,MN,55343,United States,952 936 1300,https://www.unitedhealthgroup.com,Healthcare Plans,healthcare-plans,Healthcare Plans,Healthcare,healthcare,Healthcare,"UnitedHealth Group Incorporated operates as a diversified health care company in the United States. The company operates through four segments: UnitedHealthcare, Optum Health, Optum Insight, and Optum Rx. The UnitedHealthcare segment offers consumer-oriented health benefit plans and services for national employers, public sector employers, mid-sized employers, small businesses, and individuals; health care coverage, and health and well-being services to individuals age 50 and older addressing their needs; Medicaid plans, children's health insurance and health care programs; and health and dental benefits, and hospital and clinical services, as well as health care benefits products and services to state programs caring for the economically disadvantaged, medically underserved, and those without the benefit of employer-funded health care coverage. The Optum Health segment provides care delivery, care management, wellness and consumer engagement, and health financial services patients, consumers, care delivery systems, providers, employers, payers, and public-sector entities. The Optum Insight segment offers software and information products, advisory consulting arrangements, and managed services outsourcing contracts to hospital systems, physicians, health plans, governments, life sciences companies, and other organizations. The Optum Rx segment provides pharmacy care services and programs, including retail network contracting, home delivery, specialty and community health pharmacy services, infusion, and purchasing and clinical capabilities, as well as develops programs in the areas of step therapy, formulary management, drug adherence, and disease/drug therapy management. UnitedHealth Group Incorporated was founded in 1974 and is based in Minnetonka, Minnesota.",440000,"{'maxAge': 1, 'name': 'Mr. Chris  Zaetta', 'title': 'Executive VP, Chief Legal Officer & Corporate Secretary', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,2,1,2,1719792000,1703980800,86400,2,564.34,567.12,561.54,569.68,564.34,567.12,561.54,569.68,8.4,0.0149,1718582400,0.5122,1.37,0.603,37.389553,19.857044,3313052,3313052,4111781,5365710,5365710,557.01,569.5,900,800,520321269760,436.38,581.5,1.3499445,504.1106,510.80386,7.74,0.013715135,USD,572040544256,0.03659,925373760,920385024,7689132,7513575,1717113600,1719532800,0.0084,0.00235,0.89599997,1.58,0.0084,920385024,102.022,5.541256,1703980800,1735603200,1719705600,-0.23,14103000064,15.12,31.15,1.92,2:1,1117497600,1.484,16.429,0.114129424,0.22226071,2.1,1718582400,NYQ,EQUITY,UNH,UNH,UnitedHealth Group Incorporated,UnitedHealth Group Incorporated,466867800,America/New_York,EDT,33ae4437-560d-3a42-9aa4-234d48c993c5,finmb_104673,-14400000,565.33,621.56,498.16,562.38,559.86,1.6,buy,24,31323000832,33.753,34818998272,75097997312,0.52,0.879,385439006720,75.678,418.273,0.07069,0.15584,-10158999552,9598999552,-0.22,0.064,0.23466998,0.09034,0.07966,USD,1.6259
8,UnitedHealth Group Center,9900 Bren Road East,Minnetonka,MN,55343,United States,952 936 1300,https://www.unitedhealthgroup.com,Healthcare Plans,healthcare-plans,Healthcare Plans,Healthcare,healthcare,Healthcare,"UnitedHealth Group Incorporated operates as a diversified health care company in the United States. The company operates through four segments: UnitedHealthcare, Optum Health, Optum Insight, and Optum Rx. The UnitedHealthcare segment offers consumer-oriented health benefit plans and services for national employers, public sector employers, mid-sized employers, small businesses, and individuals; health care coverage, and health and well-being services to individuals age 50 and older addressing their needs; Medicaid plans, children's health insurance and health care programs; and health and dental benefits, and hospital and clinical services, as well as health care benefits products and services to state programs caring for the economically disadvantaged, medically underserved, and those without the benefit of employer-funded health care coverage. The Optum Health segment provides care delivery, care management, wellness and consumer engagement, and health financial services patients, consumers, care delivery systems, providers, employers, payers, and public-sector entities. The Optum Insight segment offers software and information products, advisory consulting arrangements, and managed services outsourcing contracts to hospital systems, physicians, health plans, governments, life sciences companies, and other organizations. The Optum Rx segment provides pharmacy care services and programs, including retail network contracting, home delivery, specialty and community health pharmacy services, infusion, and purchasing and clinical capabilities, as well as develops programs in the areas of step therapy, formulary management, drug adherence, and disease/drug therapy management. UnitedHealth Group Incorporated was founded in 1974 and is based in Minnetonka, Minnesota.",440000,"{'maxAge': 1, 'name': 'Ms. Jennifer Mound Smoter', 'title': 'Senior VP & Chief Communications Officer', 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,2,1,2,1719792000,1703980800,86400,2,564.34,567.12,561.54,569.68,564.34,567.12,561.54,569.68,8.4,0.0149,1718582400,0.5122,1.37,0.603,37.389553,19.857044,3313052,3313052,4111781,5365710,5365710,557.01,569.5,900,800,520321269760,436.38,581.5,1.3499445,504.1106,510.80386,7.74,0.013715135,USD,572040544256,0.03659,925373760,920385024,7689132,7513575,1717113600,1719532800,0.0084,0.00235,0.89599997,1.58,0.0084,920385024,102.022,5.541256,1703980800,1735603200,1719705600,-0.23,14103000064,15.12,31.15,1.92,2:1,1117497600,1.484,16.429,0.114129424,0.22226071,2.1,1718582400,NYQ,EQUITY,UNH,UNH,UnitedHealth Group Incorporated,UnitedHealth Group Incorporated,466867800,America/New_York,EDT,33ae4437-560d-3a42-9aa4-234d48c993c5,finmb_104673,-14400000,565.33,621.56,498.16,562.38,559.86,1.6,buy,24,31323000832,33.753,34818998272,75097997312,0.52,0.879,385439006720,75.678,418.273,0.07069,0.15584,-10158999552,9598999552,-0.22,0.064,0.23466998,0.09034,0.07966,USD,1.6259
9,UnitedHealth Group Center,9900 Bren Road East,Minnetonka,MN,55343,United States,952 936 1300,https://www.unitedhealthgroup.com,Healthcare Plans,healthcare-plans,Healthcare Plans,Healthcare,healthcare,Healthcare,"UnitedHealth Group Incorporated operates as a diversified health care company in the United States. The company operates through four segments: UnitedHealthcare, Optum Health, Optum Insight, and Optum Rx. The UnitedHealthcare segment offers consumer-oriented health benefit plans and services for national employers, public sector employers, mid-sized employers, small businesses, and individuals; health care coverage, and health and well-being services to individuals age 50 and older addressing their needs; Medicaid plans, children's health insurance and health care programs; and health and dental benefits, and hospital and clinical services, as well as health care benefits products and services to state programs caring for the economically disadvantaged, medically underserved, and those without the benefit of employer-funded health care coverage. The Optum Health segment provides care delivery, care management, wellness and consumer engagement, and health financial services patients, consumers, care delivery systems, providers, employers, payers, and public-sector entities. The Optum Insight segment offers software and information products, advisory consulting arrangements, and managed services outsourcing contracts to hospital systems, physicians, health plans, governments, life sciences companies, and other organizations. The Optum Rx segment provides pharmacy care services and programs, including retail network contracting, home delivery, specialty and community health pharmacy services, infusion, and purchasing and clinical capabilities, as well as develops programs in the areas of step therapy, formulary management, drug adherence, and disease/drug therapy management. UnitedHealth Group Incorporated was founded in 1974 and is based in Minnetonka, Minnesota.",440000,"{'maxAge': 1, 'name': 'Mr. James T. Barry Jr.', 'age': 77, 'title': 'Director of Sales for Western Pennsylvania', 'yearBorn': 1946, 'fiscalYear': 2023, 'exercisedValue': 0, 'unexercisedValue': 0}",6,6,2,1,2,1719792000,1703980800,86400,2,564.34,567.12,561.54,569.68,564.34,567.12,561.54,569.68,8.4,0.0149,1718582400,0.5122,1.37,0.603,37.389553,19.857044,3313052,3313052,4111781,5365710,5365710,557.01,569.5,900,800,520321269760,436.38,581.5,1.3499445,504.1106,510.80386,7.74,0.013715135,USD,572040544256,0.03659,925373760,920385024,7689132,7513575,1717113600,1719532800,0.0084,0.00235,0.89599997,1.58,0.0084,920385024,102.022,5.541256,1703980800,1735603200,1719705600,-0.23,14103000064,15.12,31.15,1.92,2:1,1117497600,1.484,16.429,0.114129424,0.22226071,2.1,1718582400,NYQ,EQUITY,UNH,UNH,UnitedHealth Group Incorporated,UnitedHealth Group Incorporated,466867800,America/New_York,EDT,33ae4437-560d-3a42-9aa4-234d48c993c5,finmb_104673,-14400000,565.33,621.56,498.16,562.38,559.86,1.6,buy,24,31323000832,33.753,34818998272,75097997312,0.52,0.879,385439006720,75.678,418.273,0.07069,0.15584,-10158999552,9598999552,-0.22,0.064,0.23466998,0.09034,0.07966,USD,1.6259
